epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.978788,4.14212,6.08249,2.88184,0.003,0.9,0.00393,0.00116,2.43677,5.88916,1.68742,8e-05,8e-05,8e-05
2,1.25437,3.55228,6.21515,2.6812,0.00333,1,0.00919,0.00489,1.53213,4.33158,1.54599,0.00017406,0.00017406,0.00017406
3,1.54615,1.25396,2.80087,1.14849,0.00333,1,0.995,0.52449,0.86026,3.17754,1.16465,0.00026152,0.00026152,0.00026152
4,1.82189,0.96432,2.02139,1.0417,0.00333,1,0.44054,0.18817,1.09075,3.28626,1.31593,0.00034238,0.00034238,0.00034238
5,2.09271,0.88346,1.67373,0.96802,0.00333,1,0.01587,0.00871,1.0387,3.37405,1.22496,0.00041664,0.00041664,0.00041664
6,2.35678,0.78932,1.42489,0.93099,0.00333,1,0.01252,0.00726,1.30334,3.09231,1.18706,0.0004843,0.0004843,0.0004843
7,2.63143,0.75424,1.38842,0.94343,0.00333,1,0.995,0.79001,1.11583,3.02928,1.20076,0.00054536,0.00054536,0.00054536
8,2.90217,0.75677,1.31636,0.94338,0.00333,1,0.995,0.79138,1.05973,2.85957,1.10726,0.00059982,0.00059982,0.00059982
9,3.18015,0.7966,1.29732,0.92613,0.00333,1,0.99024,0.81881,1.12214,2.86682,1.18756,0.00064768,0.00064768,0.00064768
10,3.46103,0.73027,1.14481,0.92609,0.00333,1,0.995,0.80519,0.98506,2.71068,1.0875,0.00068894,0.00068894,0.00068894
11,3.7274,0.68617,1.15327,0.94511,0.00333,1,0.995,0.88394,0.67762,2.55332,1.01409,0.0007236,0.0007236,0.0007236
12,4.00515,0.6878,1.16747,0.94475,0.00333,1,0.995,0.73542,1.15279,2.64367,1.06177,0.00075166,0.00075166,0.00075166
13,4.26231,0.69069,1.12981,0.90681,0.03562,1,0.995,0.79657,0.98152,2.57858,1.07707,0.00077312,0.00077312,0.00077312
14,4.52814,0.65971,1.06378,0.8992,0.9807,1,0.995,0.78102,1.03619,1.96192,1.00704,0.00078798,0.00078798,0.00078798
15,4.79271,0.51094,0.98099,0.9064,0.98949,1,0.995,0.85682,0.64538,1.53321,0.99629,0.00079624,0.00079624,0.00079624
16,5.05485,0.54605,0.93449,0.90034,0.98927,1,0.995,0.89469,0.54239,1.56489,0.98903,0.0007979,0.0007979,0.0007979
17,5.32953,0.59313,0.94223,0.88786,0.99161,1,0.995,0.95034,0.41387,1.39984,0.98593,0.00079296,0.00079296,0.00079296
18,5.59951,0.52132,0.90195,0.89433,0.99445,1,0.995,0.89724,0.58369,1.16838,0.97308,0.00078142,0.00078142,0.00078142
19,5.8602,0.56867,0.89715,0.90546,0.99605,1,0.995,0.78052,1.06648,1.03731,1.00571,0.00076328,0.00076328,0.00076328
20,6.13631,0.58714,0.87632,0.88514,0.99704,1,0.995,0.84961,0.73324,0.83553,0.99286,0.00073854,0.00073854,0.00073854
21,6.69689,0.52206,1.18746,0.8912,0.99693,1,0.995,0.8955,0.56873,0.8659,0.96509,0.00068,0.00068,0.00068
22,6.96282,0.47372,1.13005,0.87215,0.99623,1,0.995,0.90932,0.41978,1.00833,0.94582,0.000614,0.000614,0.000614
23,7.2232,0.47563,1.16987,0.86985,0.99597,1,0.995,0.97365,0.31413,1.01988,0.94571,0.000548,0.000548,0.000548
24,7.49598,0.46139,1.14765,0.85884,0.99706,1,0.995,0.92541,0.40882,0.77019,0.96741,0.000482,0.000482,0.000482
25,7.75709,0.34237,1.00141,0.87896,0.99722,1,0.995,0.90373,0.42792,0.67783,0.95623,0.000416,0.000416,0.000416
26,8.01588,0.35012,0.94038,0.86358,0.99733,1,0.995,0.916,0.39489,0.64038,0.95167,0.00035,0.00035,0.00035
27,8.27815,0.33023,0.95683,0.85714,0.99733,1,0.995,0.90585,0.43644,0.6257,0.95213,0.000284,0.000284,0.000284
28,8.55131,0.3187,0.94822,0.83254,0.99735,1,0.995,0.89663,0.42817,0.59943,0.95343,0.000218,0.000218,0.000218
29,8.81312,0.33089,0.93243,0.84441,0.99734,1,0.995,0.92109,0.35168,0.59214,0.95134,0.000152,0.000152,0.000152
30,9.07414,0.31881,0.92476,0.84321,0.99738,1,0.995,0.97055,0.33233,0.60162,0.95028,8.6e-05,8.6e-05,8.6e-05
